"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.110209071782534,0.000184121519877912,598.567032553345,0
"2","in_samesex",0.0615444807551183,0.00158021614117568,38.9468751466676,0
"3","old_legal",-0.0106775626977179,0.000277794732470212,-38.4368796440834,3.95252516672997e-323
"4","post_2015",0.00213353524895316,0.000259578150921296,8.21924049224021,2.04814849167891e-16
"5","sex::2",-0.000234477681662758,0.000173160864170099,-1.3541032079421,0.175703476883368
"6","in_samesex:old_legal",-0.00554744546014003,0.00246470849826995,-2.25075113914443,0.024401320746177
"7","in_samesex:post_2015",0.0163490546600963,0.00232421451326115,7.0342279367134,2.00377343164785e-12
"8","old_legal:post_2015",0.00183307454004972,0.000371688543433887,4.93174883227406,8.14976864133534e-07
"9","in_samesex:old_legal:post_2015",-0.0129524334809401,0.00320008066390945,-4.04753343470928,5.17604950049074e-05
